country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.3,14,12.9,12.8,12.3,13.5,14.2,14.5,14.7,13.9,15
Angola,,,,,,,,,,,,,,,,,,,,72.6,85.6,,,,761,240,181,148,195,223,131,119,66.8,56.7,46.5,37.2,21.4,20.7,20.8,31.9,35.4,33.7,31.3,34.8,33.9,44.7,60.3,51.6,67.6,78.7,126
Albania,,,,,,,,,,,,,,,,,,,,,,47.5,103,64.5,46.6,18.8,15,22.4,23.8,23.5,31.3,28.5,26.5,26.9,21.8,25.9,27.5,27,32.9,38.9,46,50.3,60.4,66.5,63.8,73.3,70.7,75.1,65.2,62.9,74.2
Argentina,19.4,18.9,20.2,14,10.7,14.9,18.6,20.7,23.4,30.9,35.8,46.6,55.3,47,65.4,61.1,49.7,55.4,48.9,93.3,46.2,35.7,30.6,27.7,29.6,39,41.7,44.7,48.5,55,54.2,58.5,160,133,115,74.2,52.9,43.2,36.8,41.4,31,27.7,26.3,27.9,29.9,30.4,33.3,36,54.9,64.9,66.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,11.2,16.3,24.6,31.7,36.8,41.2,53.8,51.7,64.6,69.9,68.8,56.6,38.6,32,31.8,29.2,54.8,64.9,70.6,69.2,73.5,70.5,80.4,91.3,85.7,84.7,86.1,105
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,2.26,9.45,13.3,13.8,12.9,15.8,27,30.6,27.2,28,27.6,26.6,19.1,15.1,13.8,10.2,11.1,14.6,12.5,16.5,15,16.6,25.9,41,38.9,36.1,34.2,37.3
Burundi,6.36,5.59,2.93,2.63,2.81,4.7,5.12,8.79,12.5,17.6,18,18.5,22.6,28.7,35.7,40.2,48.3,69.8,75.6,81.1,81.2,83.3,96,115,123,118,132,111,127,145,127,126,152,176,153,117,108,104,86.5,34.4,30.7,27.2,28.7,27.9,25.6,20.2,22.1,22.1,21.9,22.5,21.9
Benin,13,15.4,11.6,17.9,19.5,17.6,20.2,28.3,30.6,38.2,33.9,42.2,60.1,73.8,74.7,88.1,79.3,81.1,73.3,73.1,57.8,58.8,73.3,56.9,88.4,65.7,59.5,63,59.2,40.9,40.2,40.5,38.8,27.9,26.3,23.8,9.43,11.1,10.2,13.7,16.8,17.5,15.1,16.1,15.4,19.2,19.3,22.2,25.4,27.2,33.9
Burkina Faso,4.54,4.9,3.47,4.61,6.32,6.74,8.82,14.8,17.9,17,17.2,18.6,20.2,25,28.2,33,31.5,35,32.5,27.5,26.9,30.9,31.1,35.2,60.3,53.8,50.2,53.5,52.5,47.4,48.8,47.7,43.6,37.5,36,33.1,17.5,19.4,16.9,20.8,22.2,20.2,21.1,20.2,19.5,23.7,23.4,23.3,21.6,24.1,27
Bangladesh,,,,6.14,10,8.64,19.7,24.3,21.3,19.1,20.9,20.4,26.2,29.5,28.5,28.8,35.6,39.2,37.8,36.4,38.1,41.1,41.3,41.5,44.5,40.2,31.8,28.7,30.2,31.1,28.3,26.9,29.3,29.5,29,25.5,26.6,25.4,23.7,22.9,21.3,19.5,19.6,19.4,17.7,17.3,16.4,18,18.2,18.1,20
Bulgaria,,,,,,,,,,,,3.93,6.84,10.5,14.7,22.5,29.2,29.7,40.4,47.5,57.3,119,116,114,103,55.9,87.1,101,77.3,87.7,92.9,79.4,73.5,66.4,62.8,61.8,83.5,106,102,111,102,85.4,96,94.6,83.2,82.1,76.5,70.8,62.5,60.5,63.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,45.8,42.4,44.2,50.4,49.7,59.9,65,71.2,66.1,76.6,81.9,65.7,74.9,74.8,69.9,71.1,68.7,72.7,66.1,65.5,72.1
