country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.09,3.97,5.82,5.61,3.79,5.3,6.3,3.37,3.28,3.71,6.57,2.2,1.05,5.63,4.53,2.1,2.17,3.33,2.95,5.95,5.07,1.73,−0.677,3.11,0.789,3.29,2,0.44,−1.37,1.61,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.3,10.9,7.2,22.5,2.1,−2.16,3.81,16.6,7.3,4.82,0.567,2.45,−2.2,2.4,2.07,6.52,7.82
Angola,,,,,,,,,,,,,,,,,,,,,−2.1,0,0.0128,0.00119,19,−9.01,9.82,2.21,16.3,14,106,477,918,2180,1830,4800,95.5,39.4,558,418,106,197,93.9,33.4,42.4,17.1,4.31,19.4,−16.8,32.3,31.8,7.26,2.84,3.56,−3.52,21.8,22.6,29.1,28.1,9.39
Albania,,,,,,,,,,,,,,,,,,,,,−2.14,−0.0177,−0.0168,−0.0284,0.351,−2.42,−0.00031,−0.00058,0.00368,−0.431,35.5,233,126,35.8,9.97,38.2,11.2,6.73,2.1,5.65,3.81,3.65,5.2,3.15,3.31,2.48,4.39,4.12,2.42,4.49,2.31,1.04,0.289,1.55,0.564,−0.633,1.45,1.47,1.22,−0.448
Andorra,,,,,,,,,,,7.85,8.52,11.8,15.9,16.8,16.5,23.4,20.6,16.9,13.4,12.4,13.6,11.9,10.9,8.6,10.9,5.94,5.94,6.9,7.33,6.94,6.71,4.54,3.88,4.93,0.797,2.23,1.5,2.73,28.7,3.08,3.24,3.18,3.04,3.4,3.46,3.21,2.27,0.132,0.374,0.197,0.175,0.448,−0.084,0.661,0.348,1.14,1.01,1.37,1.06
United Arab Emirates,,,,,,,,,,,,,,,,11.8,5.26,−3.66,7.05,9.52,7.05,1.31,−3.62,−6.1,0.741,−1.7,3.69,2.38,1.75,3.34,0.811,1.81,1.28,−0.262,3.91,5.77,−0.952,−4.25,8.44,11.5,−2.35,3.77,4.07,8.5,16.5,12,12.5,18.5,−15.2,12.5,13.2,2.24,−0.867,−1.02,−15.4,−3.19,5.5,8.21,−4.44,−8.36
Argentina,20.3,28.9,25.6,28.8,21.2,25.6,29,10.3,7.8,6.47,31.3,64.2,65.5,30.6,198,438,159,161,147,95.8,105,195,380,611,607,77.3,128,381,3050,2080,141,16.1,−3.56,2.85,3.17,−0.0524,−0.464,−1.71,−1.84,1.04,−1.1,30.6,10.5,18.4,10.3,13.7,14.9,23.2,15.4,20.9,23.7,22.3,23.9,40.3,26.6,41.1,26,42,50.9,39.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4,569,1390,4110,161,19.6,17.7,10.7,0.0538,−1.37,4.03,2.36,4.6,6.28,3.21,4.62,4.28,5.99,2.5,7.77,4.28,5.35,3.37,2.31,1.21,0.269,2.15,2.79,1.07,2.02
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,−3.26,−1.37,2.81,3.16,11.1,25.8,−15.4,−0.524,17.4,2.24,−0.962,1.47,1.41,−1.94,1.7,1.91,5.28
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.64,14.8,11.4,8.35,11.3,5.17,3.84,7.41,8.12,8.88,12.4,4.58,1.65,2.61,2.46,1.81,3.24,2.4,2.98,1.83,2.11,1.5,1.55,1.48,0.702,−0.865,1.54,4.46,0.408,3.73,4.38,1.84,1.47,1.02,2.04,−0.947,1.91,3.02,1.87,−0.93,2.35,0.208,1.74
Australia,3.22,−0.0759,1.79,3.29,2.98,2.68,4.87,2.25,4.75,5.13,5.19,6.19,8.98,16.4,16.5,14,11.4,8.24,8.63,10,9.53,11.7,10.2,7.86,4.63,6.46,7.06,7.2,9.25,6.1,3.04,1.5,0.891,1.02,2.27,2.73,1.27,1.19,0.488,2.56,4.62,2.84,3.01,3.24,3.81,5.12,4.98,4.61,4.99,1.17,6.21,1.79,−0.153,1.44,−0.617,−0.598,3.75,1.83,3.42,1.78
Austria,5.09,3.34,3.68,3.18,5.32,3.12,3.25,2.84,2.73,6.45,6.2,7.6,8.05,9.5,6.46,5.62,5.2,5.99,4.11,5.58,6.72,5.36,3.47,4.95,2.96,2.95,2.44,1.53,2.96,3,3.64,3.48,2.76,2.52,1.81,0.986,1.27,0.442,0.256,1.36,1.95,1.15,1.31,1.74,2.54,1.89,2.22,1.96,1.89,0.873,1.83,2.05,1.62,2.18,2.3,1.85,1.01,1.8,1.62,2.31
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,1070,747,1390,546,26.4,9.24,−0.965,2.16,12.5,2.52,4.21,6.96,9.25,14.7,11.3,21,27.8,−18.8,13.5,22.5,2.88,0.445,−1.28,−8.85,14.7,16.2,12.2,−0.241,−7.58
Burundi,20.1,−3.57,4.69,5.42,−1.03,3.15,−5.32,3.06,5.36,5.18,1.38,4.29,5.51,12.5,21.1,8.07,14.3,12.5,26.1,16.4,−6.06,5.67,6.43,17.2,5.07,−4.26,−3.42,3.49,14.8,5.99,4.09,5.4,7.74,6.64,16.1,14.5,32.4,11.5,15,38.9,13.7,1.03,11.9,13.1,18.8,2.85,8.27,24.2,10.5,8.56,8.36,14.3,7.96,5.3,21.3,0.96,11.4,−2.85,0.822,11.9
Belgium,1.32,1.67,3.03,4.64,5.1,4.09,3.19,2.62,4.02,6.68,5.36,6.32,6.81,12.2,12.9,7.58,7.48,4.42,4.51,4.13,5.14,7.57,5.61,5.44,4.63,2.8,1.68,2.17,4.8,2.81,2.88,3.42,3.99,2.09,1.22,0.477,0.758,1.81,0.599,2.01,1.98,1.64,1.85,1.91,2.08,2.26,1.93,1.91,0.533,1.89,1.81,1.96,1.27,0.983,1.33,1.92,1.83,1.52,1.75,1.28
Benin,1.04,3.78,2.55,−0.364,2.06,1.14,0.141,3.27,3.45,5.05,1.57,5.32,4.82,14.9,14.2,14,5.18,12.3,13,10.2,7.47,16.1,4.75,1.95,−4.88,−3.6,3.03,−0.611,2.22,2.18,0.757,3.03,2.38,35,15.1,6.91,3.67,5.23,48.3,4.34,1.97,3.55,3.06,0.77,4.29,2.09,0.39,6.43,2.54,0.881,3.73,7.7,1.4,−0.248,0.852,0.684,−0.368,0.67,−0.398,2.88
Burkina Faso,1.9,2.01,5.15,1.81,−0.656,2.3,−4.41,−0.264,6.91,1.78,3.38,7.3,2.68,11,8.18,6.73,18.7,14.5,7.75,8.69,13.6,9.05,5.41,6.5,0.757,−6.35,1.24,3.41,4.83,1.81,−3.97,0.227,−1.44,14.6,6.77,0.349,1.56,7.94,17.4,−0.82,3.96,3.06,1.48,0.0906,3.74,−0.663,2.49,9.16,2.41,3.78,6.74,5.82,−2.13,−0.62,−2.22,2.6,1.42,1.07,1.62,6.84
Bangladesh,6.26,0.0222,5.16,−8.74,7.93,6.3,14.8,−5.77,11.8,0.51,2.96,4.4,61.4,44.5,80.6,−17.6,−3.21,25.6,12.6,17.6,9.89,9.86,8.49,7.88,18.5,8.25,11.1,7.5,8.34,6.53,2.73,2.58,0.156,3.97,7.14,19.1,3.8,4.74,3.78,3.45,3.26,3.89,5.82,4.56,4.59,5.88,6.47,7.86,6.76,7.14,7.86,8.16,7.17,5.67,5.87,6.73,6.28,5.6,4.46,4.09
Bulgaria,,,,,,,,,,,,,,,,,,,,,2.82,1.92,−0.645,2.74,0.229,1.35,0.0638,−5.39,6.73,26.2,227,59.6,51.1,72.7,136,63,913,34,3.32,7.38,6.12,3.85,2.19,5.58,6.59,6.76,11,8.1,3.94,0.764,6.11,1.11,0.072,1.34,2.95,3.32,4.81,4.23,5.24,4.2
Bahrain,,,,,,,,,,,,,,,,,,,,,18.9,13.7,−3.69,−0.418,−1.82,−17.4,0.659,2.01,3.97,4.83,−1.88,−3.53,−3.03,7.33,1.09,0.197,0.932,−7.06,2.66,30,−3.36,3.41,8.6,11,13.7,8.84,8.44,11.4,−13,7.44,9.74,3.01,0.384,−1.67,−9.26,0.247,5.52,4.33,0.108,−5.34
Bahamas,1.16,1.09,1.34,1.51,2.01,3.77,4.71,5.16,8.93,6.15,4.58,6.79,5.55,13.2,10.7,2.39,1.73,2.25,8.55,10,17.7,3.7,5.98,3.17,8.46,4.66,6.59,1.48,1.81,5.07,2.56,3.91,−0.852,2.18,0.802,0.984,64.2,13,0.224,0.922,0.354,3.96,1.15,1.19,5.06,0.828,2.95,1.49,−1.04,−0.392,−0.859,3.27,1.53,3.8,5.04,0.766,1.41,1.07,1.83,−12
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,−17.1,13,−1.58,8.36,21.8,4.73,5.01,1.41,2.16,6.19,7.8,6.2,7.34,0.185,1.41,2.43,0.796,−0.224,1,1.37,1.41,1.7,2.75,2.63,0.213
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,1030,1060,1950,662,53.7,71.6,76.6,317,185,79.5,44.9,30.7,22.7,19,10.7,12.9,21.2,9.26,11.3,71,75.3,21.3,18.1,16,8.34,8.62,12.1,8.63,10.1
Belize,1.76,1.36,0.938,2.14,5.61,5.77,3.12,1.68,0.216,7.37,5.06,−1.24,14.7,21.7,16.9,1.16,2.24,7.35,3.59,14.9,−2.04,−6.98,7.74,9.44,−1.81,4.2,9.58,3.73,2.05,0.173,−3.18,4.06,1.65,3.6,6.05,1.97,−1.48,1.48,−2.26,0.476,−0.306,1.73,−2.77,2.01,2.87,4.74,4.5,2.69,−2.73,1.5,4.08,1.79,2.39,1.47,0.607,3.96,2.02,0.176,1.68,−4.02
Bermuda,0.939,0.977,1.27,0.461,1.46,2.61,3.48,8.98,6.28,6.27,9.55,9.53,12.8,15,6.36,2.78,9.27,4.92,6.42,9.85,17.7,12.2,11,10.3,7.61,5.84,6.49,4.89,5.64,6.03,6.43,2.81,5.2,1.96,4.18,29.4,4.02,2.74,2.71,−4.24,−1.37,8.58,2.82,4.69,6.76,19.6,6.57,5.11,1.04,2.24,−1.15,6.7,1.66,3.01,2.95,4.37,−0.0948,1.59,3.12,−2.38
Bolivia,6.55,3.56,0.824,8.39,5.89,3.32,6.23,4.59,3.72,3.96,2.54,19,42.9,61.5,6.7,8.6,12.5,14.1,19.8,24.8,29.4,159,266,1440,12.3k,230,14,18.2,13.2,16.3,17.7,13.2,6.56,7.95,11.4,11.6,5.71,7.05,2.41,5.2,1.87,2.82,6.33,7.97,5.94,13.7,7.37,10.4,−2.42,8.78,14.6,7.1,6,2.05,−4.62,−1.35,6.06,3.06,−0.693,−1.91
Brazil,34.6,50.2,78.4,89.5,58.9,37.9,26.5,26.7,20.1,16.3,19.4,19.9,29.6,34.6,33.9,41.2,45.4,38.2,54.4,92.1,101,101,131,202,249,149,206,628,1300,2740,417,969,2000,2240,94,18.5,7.73,4.92,8.01,5.61,8.23,9.8,14.1,7.75,7.43,6.77,6.44,8.78,7.31,8.42,8.32,7.94,7.5,7.85,7.57,8.1,3.67,4.49,4.28,4.81
Barbados,,,,,,,,,,,,,,,29.4,3.02,9.75,6.72,12.4,44.7,12.2,9.85,5.66,5.18,3.51,4.47,7.34,2.76,6.82,3.73,4.5,2.12,5.2,2.21,1.02,2.54,0.917,8.7,4.43,−1.32,2.26,0.908,1.12,5.83,6.67,4.27,8.44,1.66,−1.68,3.82,3.51,−0.567,2.9,0.542,−2.01,−0.0387,2.58,2.78,2.51,4.68
Brunei,,,,,,,,,,,,,,,5.52,5.63,8.38,−2.17,12.7,86.1,9.02,−4.84,−11.4,−1.27,−2.46,−31.9,10.7,−7.67,8.7,8.41,−2.84,1.73,−2.95,−8.76,2.87,4.49,8.58,−11.6,11.6,29,−5.59,0.374,6.1,15.9,18.8,10,1.12,12.7,−22.1,16.7,20.2,1.22,−2.82,−1.85,−17.6,−9.17,4.95,9.22,−3.34,−10.9
